source,evaluation,count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,elliptical_precision,elliptical_recall,elliptical_f1,elliptical_support,spiral_precision,spiral_recall,spiral_f1,spiral_support,roc_auc,confidence_drop_fraction,strong_agreement_fraction,weak_agreement_fraction,disagreement_fraction
cnn_existing_64_protocol,fold_4_cnn_heldout_true_sources,18,0.8333333333333334,0.7615384615384615,0.8035714285714286,0.7615384615384615,0.7777777777777777,0.8571428571428571,0.9230769230769231,0.8888888888888888,13,0.75,0.6,0.6666666666666666,5,0.8923076923076924,,,,
cnn_existing_64_protocol,fold_4_cnn_heldout_reconstructed_sources,18,0.7222222222222222,0.7461538461538462,0.7,0.7461538461538462,0.6989966555183946,0.9,0.6923076923076923,0.782608695652174,13,0.5,0.8,0.6153846153846154,5,0.9230769230769231,,,,
cnn_existing_64_protocol,fold_5_cnn_heldout_true_sources,18,0.9444444444444444,0.9,0.9642857142857143,0.9,0.9259259259259258,0.9285714285714286,1.0,0.9629629629629629,13,1.0,0.8,0.8888888888888888,5,0.8923076923076924,,,,
cnn_existing_64_protocol,fold_5_cnn_heldout_reconstructed_sources,18,0.6666666666666666,0.7692307692307692,0.7272727272727273,0.7692307692307692,0.6625,1.0,0.5384615384615384,0.7,13,0.45454545454545453,1.0,0.625,5,0.8615384615384615,,,,
cnn_existing_64_protocol,cnn_true_sources_cross_validated,90,0.9111111111111111,0.8575721153846154,0.925,0.8575721153846154,0.8831927319922128,0.9,0.984375,0.9402985074626866,64,0.95,0.7307692307692307,0.8260869565217391,26,0.8689903846153846,,,,
cnn_existing_64_protocol,cnn_reconstructed_sources_cross_validated,90,0.6444444444444445,0.7271634615384616,0.6944444444444444,0.7271634615384616,0.64,0.9444444444444444,0.53125,0.68,64,0.4444444444444444,0.9230769230769231,0.6,26,0.84375,,,,
ensemble_existing_64_protocol,expert1_svm_reconstruction_aware,90,0.8,0.7223557692307692,0.7642857142857142,0.7223557692307692,0.7371836469824788,0.8285714285714286,0.90625,0.8656716417910447,64,0.7,0.5384615384615384,0.6086956521739131,26,0.8515625,,,,
ensemble_existing_64_protocol,expert2_cnn_reconstructed_sources,90,0.6444444444444445,0.7271634615384616,0.6944444444444444,0.7271634615384616,0.64,0.9444444444444444,0.53125,0.68,64,0.4444444444444444,0.9230769230769231,0.6,26,0.84375,,,,
ensemble_existing_64_protocol,consensus_labelled_samples_only,50,0.9,0.8933823529411764,0.8814616755793226,0.8933823529411764,0.8869289914066034,0.9393939393939394,0.9117647058823529,0.9253731343283582,34,0.8235294117647058,0.875,0.8484848484848485,16,,,,,
ensemble_existing_64_protocol,consensus_strong_agreement_only,33,0.9393939393939394,0.9523809523809523,0.9285714285714286,0.9523809523809523,0.9365384615384615,1.0,0.9047619047619048,0.95,21,0.8571428571428571,1.0,0.9230769230769231,12,,,,,
ensemble_existing_64_protocol,consensus_coverage,90,,,,,,,,,,,,,,,,0.36666666666666664,0.18888888888888888,0.4444444444444444
