id,runtime_seconds,mse_raw,psnr_raw,ssim_raw,ncc_raw,mse_aligned,psnr_aligned,ssim_aligned,ncc_aligned,align_shift_y,align_shift_x,centroid_error,source_size_error,axis_ratio_error,orientation_error,flux_error_fraction,concentration_error,asymmetry_error,forward_mse,forward_psnr,forward_ssim,forward_ncc,forward_residual_mean,forward_residual_std,direct_supported_fraction,interpolated_fraction,empty_fraction,extrapolated_fraction,nearest_distance_pixels_p95,magnification_proxy_median,source_caustic_distance_proxy_median,theta_E,source_R_sersic,source_n_sersic
lens_00612,0.38152180006727576,0.0006757417514832752,31.702192468607002,0.8309547352696792,0.8394501668599914,0.000663492419273361,31.781640347988763,0.8340818495323946,0.8426327674619762,0.0,1.0,0.64209173632586,4.803129016659144,0.07860860684628435,1.180514428790275,0.20470724736959098,0.04374749457382443,0.054218541539547305,0.0031482453304094373,25.019314321288526,0.5301284515931809,0.8269121023505344,0.027800091940220265,0.04873807770649903,0.508056640625,0.14501953125,0.264404296875,0.107666015625,10.553872002832804,5.16423029728577,0.1898865055166573,1.249784530782453,0.08940804633892246,1.8135666909365922
lens_00613,0.3937678000656888,0.0012159654554918602,29.15078762811941,0.9459940141494304,0.9654474678592827,0.0012159654554918602,29.15078762811941,0.9459940141494304,0.9654474678592827,0.0,0.0,0.673037308621221,1.181196398483289,0.027491447988603368,1.7046375786817691,0.13803214654793283,0.08657321932796147,0.11709939471327585,0.0017027759111670885,27.68842502329296,0.7803468816623459,0.9238313828290756,0.01720609421273176,0.03750634923729164,0.59130859375,0.23779296875,0.109375,0.0869140625,7.248625424985339,5.0893008836835625,0.17310769669543666,1.008539062778437,0.11680288096313503,1.097874633039231
lens_00614,0.3697784999385476,0.00039447014398639953,34.0398586138392,0.7801507473103244,0.7098498593913093,0.0003944701439863996,34.0398586138392,0.7801507473103242,0.7098498593913092,0.0,0.0,0.9001974572933646,8.958114142081463,0.14197174325683348,5.29500800290478,0.41386324471105196,0.018501812126586303,0.30650091139437796,0.003555179267185354,24.491384954162207,0.47763170098837265,0.7991511762926755,0.028152329274824327,0.052560685151424945,0.5341796875,0.15673828125,0.22900390625,0.104248046875,9.15671502775199,4.309078927310729,0.22175173735473316,0.8681429110697618,0.07090557774213697,1.9230413211030015
lens_00615,0.3929790999973193,0.0009660847034029331,30.149847942803735,0.7883747897535457,0.8153297852973543,0.0009660847034029331,30.149847942803735,0.7883747897535457,0.8153297852973543,0.0,0.0,1.341522040530137,6.626624997612192,0.09883731067239532,3.5159265178122894,0.27385349613126914,0.045314902766836807,0.012918127107663047,0.004603540631438089,23.369080193569665,0.4902399863314994,0.7924709393084477,0.03268179372799973,0.05945957441958836,0.5537109375,0.218994140625,0.144775390625,0.098876953125,6.772052449129012,6.3185750155633364,0.13910509952400765,1.1949633368577721,0.06247679409439405,1.895175571568192
lens_00616,0.37339059996884316,0.0009319401124895932,30.306119949968387,0.8545369413963373,0.8795728399792158,0.0009319401124895932,30.306119949968387,0.8545369413963372,0.8795728399792158,0.0,0.0,0.1236006431642944,3.685101883241847,0.011349895212683703,5.048854869006789,0.15819713606948665,0.023076131310739045,0.043196327038986904,0.00133901886046464,28.73213305782589,0.8087075062564757,0.9331719525478548,0.014586562574985106,0.033559664073269324,0.5830078125,0.227294921875,0.119140625,0.09375,6.559999389653359,5.341406391689113,0.13817176254726676,1.044737271301698,0.09460993244610083,2.0459174833670417
lens_00617,0.39051429997198284,0.0013566056508599142,28.67546378239471,0.8438095131053726,0.8863226566410387,0.0013566056508599145,28.67546378239471,0.8438095131053721,0.8863226566410387,0.0,0.0,0.12202302270806514,1.7390442108623212,0.026136557853803644,7.950875400820536,0.11875233352894485,0.051771389833178416,0.05255259875662571,0.0007043083424612044,31.522371674029138,0.8603151347158069,0.9636598311235297,0.01276964869282901,0.02326466021077752,0.602294921875,0.276611328125,0.05810546875,0.087158203125,3.4160821954895413,5.310612518137484,0.15662370517826016,1.0947108944853132,0.1079993114403274,2.0406841859719007
lens_00618,0.40600289998110384,0.0009170512871350999,30.376063752384702,0.8851239160804377,0.9154545812447934,0.0009170512871350999,30.376063752384702,0.8851239160804377,0.9154545812447934,0.0,0.0,0.639337987816323,5.055124396710022,0.029048475352751124,4.855015939323906,0.2822829056419423,0.0337068084547405,0.015939918318506496,0.002735021526942472,25.63039251050647,0.582887498264544,0.8578427729352406,0.02573749838041637,0.04552584654963086,0.544189453125,0.17236328125,0.20166015625,0.10107421875,8.275930989414366,4.901795276069317,0.16562833649691666,0.9881180020161434,0.07241069465187724,1.1655348812205917
lens_00619,0.3774159000022337,0.0008259131998844399,30.830655928636826,0.808138281409693,0.8394558103297294,0.0008259131998844399,30.830655928636826,0.808138281409693,0.8394558103297294,0.0,0.0,0.4388713628124366,7.799736066541467,0.06697307905768646,9.536811873707435,0.3834569828640973,0.055895954622997124,0.003553869432783907,0.0057937393092517275,22.370410498813982,0.35137315359471033,0.6842707615049791,0.03370957341304867,0.0682451754306633,0.501220703125,0.13427734375,0.284912109375,0.10205078125,10.573656950837094,4.307923847631251,0.16995048294695786,1.14975577051216,0.06527550258965165,1.9983427946823589
lens_00620,0.409902699990198,0.0010763241925467555,29.68056897974438,0.9570905983219866,0.9705798718941038,0.0010763241925467555,29.68056897974438,0.9570905983219866,0.970579871894104,0.0,0.0,0.4757142742852909,0.42649299158345677,0.010344368357109501,1.866343635547139,0.09057772569121107,0.10692407389885639,0.09549132380182968,0.0025956948975214946,25.857463565981394,0.6913374110712986,0.8861743811114047,0.022425849136580266,0.045746870800360065,0.543212890625,0.16552734375,0.212158203125,0.103759765625,8.75559570584563,4.321386634959285,0.18218383419803238,1.186823639414247,0.11640131352029678,1.0468410532999117
lens_00621,0.3886573000345379,0.0006066451412495398,32.17065276408867,0.9232007771929592,0.9494294473844804,0.0006066451412495398,32.17065276408867,0.9232007771929592,0.9494294473844804,0.0,0.0,0.8128649744001115,4.734844120488322,0.056270031928004616,7.561275674303857,0.27623620376693675,0.01118537145885945,0.20039339413714752,0.0017735864029590036,27.511476493604775,0.6411362682952249,0.8783236678436362,0.016939651296375688,0.03855690102843071,0.550537109375,0.18310546875,0.19384765625,0.095703125,9.239979313686803,4.5666268436845385,0.22336917327888317,0.9622589894055003,0.08073049596422117,1.179711246293278
